numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCA102912	2247	Plantae	Tracheophyta	Magnoliopsida	Malvales	Thymelaeaceae	Daphnopsis	zamorensis		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco-Galeras, southern slope of Sumaco volcano.	Parque Nacional Sumaco-Galeras, southern slope of Sumaco volcano. 0°35''' 77°35''' -0.583333,-77.5833 SW 1960 		1960			-0.583333	-77.5833		2006-04-06T00:00:00	2006-04-06T00:00:00					J. Homeier		0			
QCA1068	2287	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia	jussieuoides		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49'0'' 77°33'0'' -0.816667,-77.55 SW 960		960			-0.816667	-77.55		2006-04-13T00:00:00	2006-04-13T00:00:00					J. Homeier	2009-01-01T00:00:00	0			
QCA108470	2199	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	guentheriana		Ecuador	Napo	Desconocido	Desconocido	Area of the Yanayacu biological station, 3 km SW of Cosanga.	Area of the Yanayacu biological station, 3 km SW of Cosanga. 0°36''' 77°53''' -0.6,-77.8833 SW 2080 		2080			-0.6	-77.8833		2006-03-29T00:00:00	2006-03-29T00:00:00					J. Homeier		0			
QCA1109	2291	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Aphelandra	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Coordillera Galeras.	Coordillera Galeras. 0°49'0'' 77°33'0'' -0.816667,-77.55 SW 1120		1120			-0.816667	-77.55		2006-04-13T00:00:00	2006-04-13T00:00:00					J. Homeier		0			
QCA13144	2196	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Schefflera	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Yanayacu biological station, 5km SW of Cosanga.	Area of the Yanayacu biological station, 5km SW of Cosanga. 0°36''' 77°53''' -0.6,-77.8833 SW 2060 		2060			-0.6	-77.8833		2006-03-29T00:00:00	2006-03-29T00:00:00					J. Homeier		0			
QCA131485	3564	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Otoba	glycycarpa		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordillera Galleras.	Galeras, Cordillera Galleras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1560 		1560			-0.833333	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA131486	3570	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Compsoneura	capitellata		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras.	Cordillera Galleras. 0°49''' 77°32''' -0.816667,-77.5333 SW 1560 		1560			-0.816667	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA131487	3578	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Virola	obovata		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras.	Cordillera Galleras. 0°49''' 77°32''' -0.816667,-77.5333 SW 1600 		1600			-0.816667	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA131488	3809	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Osteophloeum	platyspermum		Ecuador	Napo	Desconocido	Desconocido	Area of the Biological Station Jatun Sacha.	Area of the Biological Station Jatun Sacha. 1°4''' 77°37''' -1.06667,-77.6167 SW 420 		420			-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA131489	3811	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Compsoneura	capitellata		Ecuador	Napo	Desconocido	Desconocido	Area of the biological station Jatun Sacha.	Area of the biological station Jatun Sacha. 1°4'0'' 77°37'0'' -1.06667,-77.6167 SW 420 		420			-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA132510	3910	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Guatteria	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA132518	3892	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Clusiaceae	Chrysochlamys	membranacea		Ecuador	Napo	Desconocido	Desconocido	Area of Selva Viva Reserve.	Area of Selva Viva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA132543	3893	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Otoba	parvifolia		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA132544	3907	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Bellucia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA132545	3909	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Miconia	decurrens		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA132547	3915	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coussarea	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
