nr of samples;Sample ID;[C] m/m in %;?13C (‰ v.s. V-PDB);Batch;;;;;;;
1;jh-3621;45,87;-31,09;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
2;p48-8665;43,55;-26,75;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
3;jh-3657;47,25;-30,35;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
4;p24-8639;44,07;-32,20;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
5;p62-8669;51,55;-31,97;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
6;p09-0157;45,52;-25,04;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
7;jh-3841;46,04;-29,41;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
8;p48-8685;43,99;-30,85;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
9;p09-0163;46,44;-28,06;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
10;p48-8678;44,94;-30,28;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
11;jh-1823;46,08;-30,52;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
12;p24-8656;42,85;-31,00;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
13;p09-0132;45,93;-32,68;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
14;p09-0188;43,39;-27,46;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
15;p09-183;43,16;-26,48;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
16;jh-2070;45,38;-30,25;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
17;p24-8641;45,68;-29,39;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
18;jh-2053;42,72;-32,48;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
19;p04-175;43,04;-30,51;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
20;p48-8664;45,02;-29,29;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
21;jh-3848;43,87;-33,32;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
22;p09-0164;40,34;-25,51;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
23;jh-3839;44,31;-31,98;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
24;jh-3600;53,86;-29,29;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
25;jh-3213;46,65;-32,14;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
26;jh-3206;45,58;-31,96;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
27;pxx-0124;44,46;-30,48;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
28;p09-01343;45,39;-29,76;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
29;jh-2034;42,95;-30,60;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
30;jh-3620;46,85;-27,71;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
31;jh-3710;45,32;-31,40;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
32;p09-0109;43,92;-31,86;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
33;jh-3876;43,74;-34,26;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
34;p09-0122;44,47;-29,73;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
35;p50-8796;44,35;-31,71;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
36;jh-3923;46,27;-31,97;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
37;jh-2531;44,56;-30,55;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
38;p09-0130;45,17;-30,60;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
39;p09-139;44,67;-29,09;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
40;p09-151;44,43;-23,99;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
41;p50-8789;44,46;-27,61;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
42;p50-8609;44,43;-28,74;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
