,tree_ID,Test,Form,[C],?13C ‰ vs PDB,[O],?18O ‰ vs VSMOW
1,161,jw,hs,0.4376,-28.68,0.406898453,19.3553462
2,161,jw,ps,0.4594,-29.29,0.403349935,22.79391878
3,161,tb,ps,0.4654,-29.23,0.462214619,25.44135496
4,169,jw,hs,0.4554,-27.13,0.481132453,28.49243903
5,169,jw,ps,0.4487,-26.57,0.484202346,29.18427009
6,169,tb,ps,0.4353,-26.37,0.414602714,31.11527604
7,8120,jw,hs,0.4063,-29.27,0.472349171,20.53637101
8,8124,jw,hs,0.4714,-29.35,0.347659106,22.57422752
9,8130,jw,hs,0.4482,-25.64,0.491988058,20.19170174
10,8133,jw,hs,0.3735,-28.82,0.475147602,15.42951091
11,8135,jw,hs,0.4694,-29.26,0.466170311,28.66927362
12,8135,jw,ps,0.4518,-27.88,0.485845389,28.6342283
13,8135,tb,ps,0.4568,-28.42,0.455218661,28.24517613
14,8139,jw,hs,0.44,-32.02,0.438878788,19.92195401
15,8139,jw,ps,0.4535,-29.45,0.465245973,26.19846066
16,8140,jw,hs,0.4995,-29.25,0.455910727,21.10034938
17,8140,jw,ps,0.4766,-26.41,0.456255355,23.38603597
18,8140,tb,ps,0.4662,-26.29,0.453631838,25.24174774
19,8141,tb,hs,0.4122,-26.03,0.449376047,17.60088307
20,8147,jw,ps,0.4597,-28.63,0.479637145,28.39601807
21,8149,jw,hs,0.4725,-31.29,0.466040134,28.96378439
22,8149,jw,ps,0.4287,-29.15,0.449720592,18.92488362
23,8149,tb,ps,0.4438,-29.44,0.486396297,22.4529437
24,8150,jw,hs,0.4612,-32.29,0.481555491,27.20436115
25,8150,jw,ps,0.4557,-31.8,0.482999657,27.65284998
26,8150,tb,ps,0.4386,-31.39,0.481579308,22.87582416
27,8151,jw,hs,0.4843,-27.18,0.431338727,25.36907749
28,8151,jw,ps,0.463,-26.81,0.471741954,21.95742063
29,8151,tb,ps,0.445,-26.79,0.447272563,21.34321831
30,8152,jw,hs,0.4493,-31.39,0.472549278,24.68476382
31,8152,jw,ps,0.4601,-31.22,0.480115753,24.76295878
32,8152,tb,ps,0.4321,-31.07,0.482870495,24.99193467
33,8154,jw,hs,0.4582,-31.01,0.47753351,19.20836163
34,8154,jw,ps,0.4684,-30.02,0.48320255,22.34455194
35,8154,tb,ps,0.4452,-29.9,0.47854648,23.06835731
36,8158,jw,hs,0.4508,-32.59,0.463470081,27.34809635
37,8158,jw,ps,0.4482,-31.6,0.473743104,28.41036214
38,8158,tb,ps,0.4392,-31.21,0.481115523,27.39232189
39,8181,jw,hs,0.4117,-31.35,0.468515844,19.81406502
40,8181,jw,ps,0.3142,-27.76,0.421413909,14.95574883
41,8181,tb,ps,0.4389,-29.05,0.486979548,21.80583229
42,8182,jw,hs,0.4503,-31.11,0.462382268,23.36230117
43,8182,jw,ps,0.4565,-30.25,0.46172625,21.24477831
44,8182,tb,ps,0.4364,-30.29,0.491320119,21.70232543
45,8186,jw,hs,0.4677,-26.81,0.473612676,30.98698016
46,8186,jw,ps,0.3313,-26.59,0.386777535,13.05553637
47,8186,tb,ps,0.4414,-28.84,0.483454245,24.38365586
48,8188,jw,hs,0.4588,-29.91,0.487561249,28.56377555
49,8188,jw,ps,0.4486,-29.25,0.473899072,28.12423117
50,8188,tb,ps,0.4397,-29.34,0.485733303,28.40893495
51,8203,jw,hs,0.4539,-31.32,0.469705064,20.09976901
52,8203,jw,ps,0.4325,-29.39,0.465236515,23.1608863
53,8203,tb,ps,0.4481,-29.62,0.469739235,26.09163427
