Site,Plot,PlotID,Year,Sample_ID,old_treeID,new_TreeID,family,genus,species,Type,C_percent,d13C_permil,N_percent,Cb_percent,d15N_permil,bulk_d13C_permil,herbarium_id,source_file,Elevation_m
Sumaco,9.0,Sumaco_9,2006,p09-225,225.0,,Moraceae,Ficus,quijosana,,42.5781882406641,-28.691042928651,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,1.0,Sumaco_1,2006,p09-230,230.0,,Lauraceae,Ocotea,insularis,,45.4563180383186,-29.2898215792125,,,,,3343.0,Sumaco_cellulose.xlsx,
Sumaco,9.0,Sumaco_9,2006,p09-231,231.0,,Clusiaceae,Clusia,,,45.7881012595237,-29.7833443922721,,,,,3342.0,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2006,p09-233,233.0,8885.0,Icacinaceae,Calatola,costaricensis,,47.33,-29.45,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2006,p09-235,235.0,3733.0,Icacinaceae,Calatola,costaricensis,,43.2614739420433,-30.1914627831869,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2006,p10-238,238.0,3719.0,Clusiaceae,Chrysochlamys,membranacea,,43.1750429749971,-29.1777242740216,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2006,p10-239,239.0,,Moraceae,Ficus,cuatrecasana,,44.3344993242018,-28.6675833195271,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2006,p10-240,240.0,,Lauraceae,Persea,areolatocostae,,44.2458727648861,-27.8557723609192,,,,,1809.0,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2006,p10-241,241.0,8878.0,Verbenaceae,Aegiphila,,,41.620000000000005,-28.75,,,,,1807.0,Sumaco_cellulose.xlsx,2000.0
Sumaco,10.0,Sumaco_10,2006,p10-242,242.0,,Solanaceae,Solanum,cf anisophyllum,,42.9141459660883,-29.6218629548444,,,,,,Sumaco_cellulose.xlsx,2000.0
